complaintID,complaintTitle,complaintDescription,complaintCategory,Rating
1,Incorrect billing amount,I was charged incorrectly for a service that I did not use.,billing,1
2,Late delivery of products,My order was delivered much later than the estimated delivery date.,delivery,3
3,Product damaged in transit,The products were damaged during shipping and handling.,product_quality,1
4,Unhelpful responses,The responses from customer service were unhelpful and generic.,customer_service,2
5,Website crashes frequently,The website crashes frequently when I try to access certain pages.,website_issues,1
6,Incorrect ad placements,The ads were placed on irrelevant platforms with low engagement.,advertising,1
7,Technical issues on the ecommerce platform,I encountered technical issues while using the ecommerce platform.,ecommerce_platform,1
8,Query about services,I have a query about the services provided by the company.,other,1
9,Refund not received,I have not received my refund for a canceled service.,billing,4
10,Delivery package tampered,The delivery package seemed to be tampered with upon receipt.,delivery,5
11,Product not as advertised,The product received does not match the description and photos online.,product_quality,4
12,Incorrect information provided,I received incorrect information from customer service representatives.,customer_service,5
13,Website not mobile-friendly,The website is not optimized for mobile devices and is difficult to navigate.,website_issues,5
14,Advertising strategy feedback,I have feedback and suggestions for improving the advertising strategy.,advertising,1
15,Technical issues on the ecommerce platform,I encountered technical issues while using the ecommerce platform.,ecommerce_platform,1
16,Query about services,I have a query about the services provided by the company.,other,5
17,Incorrect billing amount,I was charged incorrectly for a service that I did not use.,billing,1
18,Damaged products received,I received damaged products in my delivery.,delivery,5
19,Product missing components,The product is missing some essential components.,product_quality,2
20,Unresolved issues,My issues were not resolved despite multiple attempts to contact customer service.,customer_service,5
21,Website not mobile-friendly,The website is not optimized for mobile devices and is difficult to navigate.,website_issues,3
22,Advertising strategy feedback,I have feedback and suggestions for improving the advertising strategy.,advertising,1
23,User interface feedback,I have feedback on the user interface and navigation of the platform.,ecommerce_platform,3
24,Query about services,I have a query about the services provided by the company.,other,2
25,Incorrect billing amount,I was charged incorrectly for a service that I did not use.,billing,2
26,Late delivery of products,My order was delivered much later than the estimated delivery date.,delivery,2
27,Product damaged in transit,The products were damaged during shipping and handling.,product_quality,2
28,Unresolved issues,My issues were not resolved despite multiple attempts to contact customer service.,customer_service,4
29,Broken links on the website,There are broken links and errors on various pages of the website.,website_issues,4
30,Advertising ROI concerns,I have concerns about the return on investment from advertising efforts.,advertising,5
31,Ecommerce platform downtime,The platform experiences frequent downtime and maintenance issues.,ecommerce_platform,1
32,Query about services,I have a query about the services provided by the company.,other,4
