complaintID,complaintTitle,complaintDescription,complaintCategory,Rating
1,Billing discrepancy,There is a discrepancy in the billing amount on my invoice.,billing,1
2,Incomplete delivery,I received only part of my order in the delivery.,delivery,5
3,Wrong product specifications,The specifications mentioned for the product do not match what I received.,product_quality,2
4,Incorrect information provided,I received incorrect information from customer service representatives.,customer_service,2
5,Login issues,I am unable to log in to my account on the website.,website_issues,3
6,Inconsistent branding in ads,There are inconsistencies in branding across different advertising materials.,advertising,3
7,Product listing errors,There are errors and inconsistencies in the product listings on the platform.,ecommerce_platform,3
8,Account-related issue,I have an issue related to my account or user profile.,other,3
9,Incorrect tax calculation,The tax amount on my bill seems to be calculated incorrectly.,billing,5
10,Delivery package tampered,The delivery package seemed to be tampered with upon receipt.,delivery,3
11,Expired products,I received products that are past their expiration date.,product_quality,2
12,Long wait times on customer support,I had to wait for a long time on hold to reach customer support.,customer_service,3
13,Website design issues,There are design issues and inconsistencies across different pages of the website.,website_issues,3
14,Incorrect ad placements,The ads were placed on irrelevant platforms with low engagement.,advertising,4
15,Technical issues on the ecommerce platform,I encountered technical issues while using the ecommerce platform.,ecommerce_platform,1
16,Technical support needed,I require technical support for a problem I am facing.,other,4
17,Payment not processed,My payment for an order was not processed successfully.,billing,5
18,Delivery package tampered,The delivery package seemed to be tampered with upon receipt.,delivery,2
19,Wrong product specifications,The specifications mentioned for the product do not match what I received.,product_quality,1
20,Lack of follow-up,There was no follow-up from customer service after my initial complaint.,customer_service,1
21,Slow website performance,The website is very slow and unresponsive during peak hours.,website_issues,3
22,Ineffective advertising campaigns,I found the advertising campaigns to be ineffective in reaching the target audience.,advertising,4
23,Ecommerce platform downtime,The platform experiences frequent downtime and maintenance issues.,ecommerce_platform,1
24,Complaint not listed,My complaint does not fit into any of the listed categories.,other,4
25,Payment not processed,My payment for an order was not processed successfully.,billing,3
26,Wrong item delivered,I received a different item than what I ordered.,delivery,1
27,Expired products,I received products that are past their expiration date.,product_quality,4
28,Unhelpful responses,The responses from customer service were unhelpful and generic.,customer_service,2
29,Broken links on the website,There are broken links and errors on various pages of the website.,website_issues,1
30,Low click-through rates,The ads had low click-through rates and did not generate much traffic.,advertising,4
31,Order tracking difficulties,I faced difficulties in tracking my orders through the platform.,ecommerce_platform,3
32,Technical support needed,I require technical support for a problem I am facing.,other,2
33,Incorrect billing amount,I was charged incorrectly for a service that I did not use.,billing,1
34,Delivery package tampered,The delivery package seemed to be tampered with upon receipt.,delivery,2
35,Product missing components,The product is missing some essential components.,product_quality,3
36,Incorrect information provided,I received incorrect information from customer service representatives.,customer_service,2
37,Broken links on the website,There are broken links and errors on various pages of the website.,website_issues,3
38,Misleading advertisements,The advertisements were misleading and did not accurately represent the products.,advertising,1
39,Missing product information,There is missing or incomplete information about products on the platform.,ecommerce_platform,4
40,Suggestion for improvement,I have a suggestion for improving a specific aspect of the company.,other,2
41,Incorrect tax calculation,The tax amount on my bill seems to be calculated incorrectly.,billing,4
42,Missing items in delivery,Some items are missing from the delivery package.,delivery,3
43,Product damaged in transit,The products were damaged during shipping and handling.,product_quality,2
44,Escalation of complaint,I had to escalate my complaint multiple times to get a response.,customer_service,4
45,Website crashes frequently,The website crashes frequently when I try to access certain pages.,website_issues,2
46,Inconsistent branding in ads,There are inconsistencies in branding across different advertising materials.,advertising,5
47,Technical issues on the ecommerce platform,I encountered technical issues while using the ecommerce platform.,ecommerce_platform,2
48,Unspecified issue,I encountered an issue that I cannot specify in detail.,other,3
49,Late billing statement,"I received my billing statement late, causing confusion.",billing,1
50,Missing items in delivery,Some items are missing from the delivery package.,delivery,2
51,Product not as advertised,The product received does not match the description and photos online.,product_quality,2
52,Long wait times on customer support,I had to wait for a long time on hold to reach customer support.,customer_service,2
53,Unable to place orders,I am unable to place orders on the website due to technical issues.,website_issues,2
54,Ad performance tracking,I would like better tracking and analysis of ad performance metrics.,advertising,3
55,User interface feedback,I have feedback on the user interface and navigation of the platform.,ecommerce_platform,5
56,Complaint not listed,My complaint does not fit into any of the listed categories.,other,3
57,Double charged for a service,I noticed that I have been double charged for the same service.,billing,1
